Character,Species,Height (inches),Actor DOB,Number of Episodes,Ranking,Gender
Buffy,Human,64,4/14/77,145,5,F
Xander,Human,70,4/12/71,145,11,M
Willow,Human,64.5,3/24/74,144,1,F
Giles,Human,73,2/20/54,123,3,M
Cordelia,Human,67,7/23/70,58,7,F
Angel,Vampire,73,5/16/69,59,19,M
Oz,Werewolf,64,2/8/74,40,18,M
Spike,Vampire,69,8/20/62,97,2,M
Anya,Human,63.5,4/8/73,85,10,F
Tara,Human,64,1/8/77,47,13,F
Dawn,Human,66,10/11/85,66,50,F
Joyce,Human,67,4/17/55,58,24,F
Faith,Human,65,12/30/80,20,4,F
Drusilla,Vampire,66,3/30/65,17,12,F
